Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,League,Team,Year,PlayerID,Throws
5,Yukio Miyoshi,20,0,0,NA,3.72,14,0,5,0,0,NA,19.1,21,8,8,1,4,0,6,0,0,0,76,1.293,9.8,0.5,1.9,2.8,1.5,Japan Central League,Hiroshima Carp,1966,miyosh000yuk,right
6,Takuro Morikawa*,24,0,1,0,3.38,11,1,4,0,0,NA,13.1,11,5,5,2,6,1,5,0,0,0,54,1.275,7.4,1.4,4.1,3.4,0.83,Japan Central League,Hiroshima Carp,1966,morika000tak,left
7,Katsuhiro Nishikawa,22,0,1,0,5.76,23,0,12,0,0,NA,29.2,31,23,19,4,7,0,17,2,0,0,126,1.281,9.4,1.2,2.1,5.2,2.43,Japan Central League,Hiroshima Carp,1966,nishik000kat,right
8,Susumu Oba*,25,13,18,0.419,3.18,48,32,5,10,2,NA,237.2,222,95,84,14,50,4,160,3,0,3,961,1.144,8.4,0.5,1.9,6.1,3.2,Japan Central League,Hiroshima Carp,1966,oba---000sus,left
9,Kiyoshi Oishi,26,2,7,0.222,4.3,34,13,5,2,1,NA,104.2,104,59,50,10,31,1,45,3,0,3,440,1.29,8.9,0.9,2.7,3.9,1.45,Japan Central League,Hiroshima Carp,1966,oishi-000kiy,right
10,Kenichi Ryu,29,16,14,0.533,2.85,55,9,29,1,1,NA,202.1,181,68,64,16,51,9,65,3,0,1,820,1.147,8.1,0.7,2.3,2.9,1.27,Japan Central League,Hiroshima Carp,1966,ryu---000ken,right
11,Shizuo Shiraishi*,22,1,2,0.333,5.4,24,5,3,0,0,NA,50,51,30,30,6,13,0,27,3,0,1,213,1.28,9.2,1.1,2.3,4.9,2.08,Japan Central League,Hiroshima Carp,1966,shirai000shi,left
12,Yoshiro Sotokoba,21,0,1,0,3.62,25,2,13,0,0,NA,32.1,26,14,13,5,11,0,23,1,0,1,133,1.144,7.2,1.4,3.1,6.4,2.09,Japan Central League,Hiroshima Carp,1966,sotoko000yos,right
13,Michio Ukari,29,1,3,0.25,3.74,34,8,6,0,0,NA,65,73,32,27,6,11,1,25,1,0,0,273,1.292,10.1,0.8,1.5,3.5,2.27,Japan Central League,Hiroshima Carp,1966,ugari-000mic,right
1,Eizo Goda,24,10,1,0.909,2.35,32,8,14,1,1,NA,103.1,86,28,27,8,19,2,55,4,0,0,400,1.016,7.5,0.7,1.7,4.8,2.89,Japan Pacific League,Nankai Hawks,1966,goda--000eiz,right
2,Toshihiro Hayashi*,22,0,0,NA,2.08,4,1,1,0,0,NA,8.2,7,2,2,0,2,0,6,1,0,0,36,1.038,7.3,0,2.1,6.2,3,Japan Pacific League,Nankai Hawks,1966,hayash000tos,left
3,Kenjiro Maki,18,0,2,0,3.86,3,1,1,0,0,NA,7,8,4,3,0,4,0,5,0,0,0,34,1.714,10.3,0,5.1,6.4,1.25,Japan Pacific League,Nankai Hawks,1966,maki--000ken,right
4,Mutsuo Minagawa,30,18,7,0.72,2.12,46,31,10,11,6,NA,212,188,63,50,20,34,2,109,8,0,4,837,1.047,8,0.8,1.4,4.6,3.21,Japan Pacific League,Nankai Hawks,1966,minaga000mut,right
5,Kiyohiro Miura,27,15,8,0.652,2.7,45,29,10,6,0,NA,203.1,188,71,61,10,65,1,85,7,0,1,848,1.244,8.3,0.4,2.9,3.8,1.31,Japan Pacific League,Nankai Hawks,1966,miura-000kiy,right
6,Chikara Morinaka,26,5,10,0.333,3.63,34,17,6,2,1,NA,121.1,112,55,49,17,32,3,79,6,0,0,494,1.187,8.3,1.3,2.4,5.9,2.47,Japan Pacific League,Nankai Hawks,1966,morina000chi,right
7,Masanori Murakami*,22,6,4,0.6,3.08,46,2,13,0,0,NA,96.1,80,34,33,10,25,1,66,8,0,1,387,1.09,7.5,0.9,2.3,6.2,2.64,Japan Pacific League,Nankai Hawks,1966,muraka001mas,left
8,Kunji Nagamoto,21,0,0,NA,3.68,4,0,1,0,0,NA,7.1,7,3,3,0,4,0,2,2,0,0,33,1.5,8.6,0,4.9,2.5,0.5,Japan Pacific League,Nankai Hawks,1966,nagamo000kun,right
9,Akitada Niiyama,26,7,5,0.583,2.25,39,4,16,0,0,NA,104,79,34,26,9,28,3,47,2,0,0,403,1.029,6.8,0.8,2.4,4.1,1.68,Japan Pacific League,Nankai Hawks,1966,niiyam000aki,right
10,Tadashi Sugiura,30,2,4,0.333,2.47,27,0,22,0,0,NA,51,42,16,14,6,3,0,39,0,0,0,191,0.882,7.4,1.1,0.5,6.9,13,Japan Pacific League,Nankai Hawks,1966,sugiur000tad,right
11,Eiichiro Takahashi,30,0,3,0,4.59,14,6,2,0,0,NA,33.1,32,20,17,4,17,0,9,0,0,0,144,1.47,8.6,1.1,4.6,2.4,0.53,Japan Pacific League,Nankai Hawks,1966,takaha000eii,right
12,Taisuke Watanabe,23,16,7,0.696,2.12,42,34,5,12,8,NA,233.2,191,64,55,19,42,0,148,4,0,2,917,0.997,7.4,0.7,1.6,5.7,3.52,Japan Pacific League,Nankai Hawks,1966,watana000tai,right
1,Masaru Honma,27,0,2,0,1.81,27,2,11,0,0,NA,49.2,43,13,10,2,15,1,23,0,0,0,199,1.168,7.8,0.4,2.7,4.2,1.53,Japan Pacific League,Nishitetsu Lions,1966,honma-000mas,right
2,Masaaki Ikenaga,19,15,14,0.517,2.19,47,36,7,13,4,NA,267.2,207,81,65,14,61,1,139,9,0,1,1060,1.001,7,0.5,2.1,4.7,2.28,Japan Pacific League,Nishitetsu Lions,1966,ikenag000mas,right
3,Kazuhisa Inao,29,11,10,0.524,1.79,54,11,30,2,2,NA,185.2,134,45,37,11,23,1,134,5,1,0,711,0.846,6.5,0.5,1.1,6.5,5.83,Japan Pacific League,Nishitetsu Lions,1966,inao--000kaz,right
4,Yoshio Inoue*,24,2,4,0.333,2.84,29,11,5,0,0,NA,66.2,64,26,21,5,14,1,33,3,0,0,277,1.17,8.6,0.7,1.9,4.5,2.36,Japan Pacific League,Nishitetsu Lions,1966,inoue-002yos,left
5,Junichi Kaneko*,18,0,0,NA,0,1,0,0,0,0,NA,3,3,0,0,0,1,0,0,0,0,0,12,1.333,9,0,3,0,0,Japan Pacific League,Nishitetsu Lions,1966,kaneko000jun,left
6,Masashi Ozaki,19,0,0,NA,3.86,3,0,2,0,0,NA,2.1,6,4,1,0,1,0,0,0,0,0,16,3,23.1,0,3.9,0,0,Japan Pacific League,Nishitetsu Lions,1966,ozaki-002mas,right
7,Toshihiko Sei,20,5,6,0.455,2.04,47,14,12,1,1,NA,128,102,38,29,7,28,2,88,3,0,2,494,1.016,7.2,0.5,2,6.2,3.14,Japan Pacific League,Nishitetsu Lions,1966,sei---000tos,right
8,Tsutomu Tanaka,26,23,12,0.657,2.34,56,36,15,13,4,NA,296.1,207,85,77,20,61,4,217,7,0,1,1141,0.904,6.3,0.6,1.9,6.6,3.56,Japan Pacific League,Nishitetsu Lions,1966,tanaka000tsu,right
9,Tadao Wako,29,12,3,0.8,1.53,41,8,18,1,1,NA,117.1,56,22,20,4,22,1,58,4,0,1,428,0.665,4.3,0.3,1.7,4.4,2.64,Japan Pacific League,Nishitetsu Lions,1966,wako--000tad,right
10,Yoshinobu Yoda,22,7,4,0.636,2.45,36,20,6,2,1,NA,128.1,120,40,35,6,28,1,75,2,1,0,518,1.153,8.4,0.4,2,5.3,2.68,Japan Pacific League,Nishitetsu Lions,1966,yoda--000yor,right
1,Satomi Bando,24,0,0,NA,19.5,5,0,2,0,0,NA,6,16,13,13,1,2,0,2,0,0,0,37,3,24,1.5,3,3,1,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,bando-000sat,right
2,Takashi Hashimoto,20,0,0,NA,Inf,1,0,0,0,0,NA,0,2,3,2,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA,0,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,hashim003tak,right
3,Katsumi Inoue*,23,0,0,NA,14.85,5,0,0,0,0,NA,6.2,14,14,11,1,5,0,3,2,1,0,44,2.85,18.9,1.4,6.8,4.1,0.6,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,inoue-000kat,left
4,Yukio Ito?,23,3,8,0.273,4.61,38,4,19,0,0,NA,91.2,95,52,47,7,35,4,56,4,0,1,397,1.418,9.3,0.7,3.4,5.5,1.6,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,ito---000yuk,unknown
5,Yasuo Kawauchi,20,0,0,NA,0,2,0,1,0,0,NA,8,2,0,0,0,3,0,2,0,0,0,30,0.625,2.3,0,3.4,2.3,0.67,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,kawauc000yas,right
6,Yoshitaka Kihara,23,3,6,0.333,5.16,21,12,5,2,0,NA,61,67,39,35,7,16,1,16,1,0,2,261,1.361,9.9,1,2.4,2.4,1,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,kihara000yos,right
7,Yukihiro Kubo,26,1,5,0.167,3.93,19,13,2,0,0,NA,71,84,37,31,8,15,2,7,2,0,0,306,1.394,10.6,1,1.9,0.9,0.47,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,kubo--000yuk,right
8,Noboru Makino,29,1,4,0.2,6.7,23,5,10,0,0,NA,45.2,66,39,34,5,14,0,18,0,0,1,216,1.752,13,1,2.8,3.5,1.29,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,makino000nob,right
9,Hiroyuki Osada*,27,3,3,0.5,3.58,28,4,5,0,0,NA,60.1,58,27,24,3,24,2,21,1,0,0,254,1.359,8.7,0.4,3.6,3.1,0.88,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,osada-000hir,left
10,Koichiro Sasaki,22,8,12,0.4,2.81,46,33,8,9,4,NA,214.1,178,77,67,18,67,5,133,9,0,0,884,1.143,7.5,0.8,2.8,5.6,1.99,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,sasaki000koi,right
11,Keishi Suzuki*,18,10,12,0.455,3.19,46,21,12,6,3,NA,189,163,76,67,24,51,5,160,3,0,3,777,1.132,7.8,1.1,2.4,7.6,3.14,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,suzuki000kei,left
12,Kenjiro Tabata,20,0,0,NA,16.2,1,1,0,0,0,NA,1.2,2,3,3,0,1,0,1,0,0,0,9,1.8,10.8,0,5.4,5.4,1,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,tabata000ken,right
13,Osamu Tanabe,22,4,4,0.5,2.79,29,15,9,3,1,NA,119.1,105,43,37,8,33,2,63,3,1,1,477,1.156,7.9,0.6,2.5,4.8,1.91,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,tanabe000osa,right
14,Toshiaki Tokuhisa,23,7,9,0.438,3.42,28,16,6,0,0,NA,105.1,100,43,40,5,50,2,42,4,1,2,459,1.424,8.5,0.4,4.3,3.6,0.84,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,tokuhi000tos,right
15,Shigemasa Yamamoto,22,8,19,0.296,2.72,57,9,33,1,0,NA,195.1,155,72,59,14,74,10,132,5,0,2,793,1.172,7.1,0.6,3.4,6.1,1.78,Japan Pacific League,Osaka Kintetsu Buffaloes,1966,yamamo000shi,right
1,Toshimitsu Daigo,22,0,0,NA,0,1,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,Japan Central League,Sankei Atoms,1966,taigo-000tos,right
2,Masanobu Hamaguchi,18,0,0,NA,4.5,1,0,0,0,0,NA,2,3,1,1,0,0,0,1,0,0,0,8,1.5,13.5,0,0,4.5,NA,Japan Central League,Sankei Atoms,1966,hamagu000mas,right
3,Shiro Hanzawa,21,0,0,NA,9,3,0,3,0,0,NA,4,6,4,4,2,2,0,1,0,0,0,19,2,13.5,4.5,4.5,2.3,0.5,Japan Central League,Sankei Atoms,1966,hanzaw000shi,right
4,Masahiko Hosoda,19,0,0,NA,4.26,3,0,2,0,0,NA,6.1,6,3,3,3,1,0,2,0,0,0,26,1.105,8.5,4.3,1.4,2.8,2,Japan Central League,Sankei Atoms,1966,hosoda000mas,right
5,Shiroku Ishido,25,11,11,0.5,3.17,50,26,13,11,5,NA,210.1,204,83,74,15,49,11,72,9,0,0,870,1.203,8.7,0.6,2.1,3.1,1.47,Japan Central League,Sankei Atoms,1966,ishido000shi,right
6,Kozo Ishioka,25,4,4,0.5,2.12,33,8,12,2,1,NA,93.1,67,31,22,10,28,1,56,1,0,0,376,1.018,6.5,1,2.7,5.4,2,Japan Central League,Sankei Atoms,1966,ishiok000koz,right
7,Yoshimi Moritaki,28,0,3,0,6.13,20,3,7,0,0,NA,39.2,47,28,27,3,7,0,12,3,0,1,171,1.361,10.7,0.7,1.6,2.7,1.71,Japan Central League,Sankei Atoms,1966,morita002yos,right
8,Genichi Murata,28,11,12,0.478,3.14,39,28,8,8,1,NA,189.1,179,74,66,19,33,7,74,2,0,0,770,1.12,8.5,0.9,1.6,3.5,2.24,Japan Central League,Sankei Atoms,1966,murata000gen,right
9,Masaru Ogata,26,0,0,NA,5.23,17,0,5,0,0,NA,31,41,18,18,6,7,0,15,1,1,0,138,1.548,11.9,1.7,2,4.4,2.14,Japan Central League,Sankei Atoms,1966,aizawa000mas,right
10,Susumu Sato,23,12,18,0.4,2.6,39,33,5,9,2,NA,231.2,196,73,67,10,56,8,94,4,1,0,938,1.088,7.6,0.4,2.2,3.7,1.68,Japan Central League,Sankei Atoms,1966,sato--000sus,right
11,Seiji Shibutani*,27,4,17,0.19,3.24,32,27,2,4,2,NA,150,125,62,54,16,65,9,77,4,0,1,630,1.267,7.5,1,3.9,4.6,1.18,Japan Central League,Sankei Atoms,1966,shibut000sei,left
12,Kiyotake Suzuki,25,8,9,0.471,2.32,62,1,35,0,0,NA,170.1,121,48,44,18,57,15,105,5,0,1,680,1.045,6.4,1,3,5.5,1.84,Japan Central League,Sankei Atoms,1966,suzuki000kiy,right
13,Hajimu Tatsumi*,30,2,4,0.333,4.48,38,9,5,1,1,NA,74.1,75,40,37,8,31,3,37,1,0,1,325,1.426,9.1,1,3.8,4.5,1.19,Japan Central League,Sankei Atoms,1966,tatsum000haj,left
14,Kakuro Tominaga,29,0,0,NA,8.31,5,0,2,0,0,NA,4.1,7,6,4,0,3,0,2,1,0,0,23,2.308,14.5,0,6.2,4.2,0.67,Japan Central League,Sankei Atoms,1966,tomina000tad,right
15,Kazushi Watanabe*,25,0,0,NA,81,3,0,0,0,0,NA,0.1,2,4,3,1,3,0,1,0,0,0,6,15,54,27,81,27,0.33,Japan Central League,Sankei Atoms,1966,watana000kaz,left
1,Noboru Akiyama,32,6,8,0.429,4.01,34,22,5,3,0,NA,130.1,134,67,58,18,37,2,35,3,0,1,557,1.312,9.3,1.2,2.6,2.4,0.95,Japan Central League,Taiyo Whales,1966,akiyam000nob,right
2,Akira Ejiri*,23,0,0,NA,4.26,5,0,2,0,0,NA,6.1,9,4,3,1,1,0,1,0,0,0,30,1.579,12.8,1.4,1.4,1.4,1,Japan Central League,Taiyo Whales,1966,ejiri-000aki,left
3,Ichiro Hiraoka*,20,1,5,0.167,3.94,37,1,12,0,0,NA,61.2,55,31,27,6,25,3,33,3,1,1,259,1.297,8,0.9,3.6,4.8,1.32,Japan Central League,Taiyo Whales,1966,hiraok000ich,left
4,Makoto Inagawa,29,10,11,0.476,3.12,43,25,8,6,2,NA,184.1,165,80,64,20,50,4,110,8,0,1,764,1.166,8.1,1,2.4,5.4,2.2,Japan Central League,Taiyo Whales,1966,inagaw000mak,right
5,Kuniyasu Mine,25,0,1,0,5.09,12,0,8,0,0,NA,17.2,15,11,10,3,6,0,9,2,1,0,76,1.189,7.6,1.5,3.1,4.6,1.5,Japan Central League,Taiyo Whales,1966,mine--000kun,right
6,Shinji Niihari,24,4,4,0.5,3.62,37,0,20,0,0,NA,64.2,67,33,26,6,17,2,35,2,0,0,271,1.299,9.3,0.8,2.4,4.9,2.06,Japan Central League,Taiyo Whales,1966,niihar000shi,right
7,Mitsuo Nishi,27,5,2,0.714,3.81,23,4,9,1,0,NA,54.1,44,25,23,5,15,1,23,1,0,1,222,1.086,7.3,0.8,2.5,3.8,1.53,Japan Central League,Taiyo Whales,1966,nishi-000mit,right
8,NObushi Oikawa,22,3,7,0.3,3.99,36,12,8,1,0,NA,94.2,97,47,42,9,46,5,67,6,1,7,416,1.511,9.2,0.9,4.4,6.4,1.46,Japan Central League,Taiyo Whales,1966,oikawa000nob,right
9,Shoichi Ono*,32,5,7,0.417,3.46,41,9,12,3,0,NA,119.2,109,53,46,15,56,8,85,3,0,1,508,1.379,8.2,1.1,4.2,6.4,1.52,Japan Central League,Taiyo Whales,1966,ono---002sho,left
10,Yoshiro Sasaki,26,8,8,0.5,3.04,38,16,8,4,3,NA,139,134,54,47,10,23,2,58,5,1,1,564,1.129,8.7,0.6,1.5,3.8,2.52,Japan Central League,Taiyo Whales,1966,sasaki000kic,right
11,Gentaro Shimada,26,0,1,0,3.68,5,1,2,0,0,NA,7.1,9,3,3,2,2,0,4,1,0,0,31,1.5,11,2.5,2.5,4.9,2,Japan Central League,Taiyo Whales,1966,shimad000gen,right
12,Joe Stanka,34,6,13,0.316,4.17,32,23,4,4,0,NA,144.2,153,75,67,14,44,4,69,6,0,1,616,1.362,9.5,0.9,2.7,4.3,1.57,Japan Central League,Taiyo Whales,1966,stanka001joe,right
13,Shigeyuki Takahashi,21,4,11,0.267,4.39,34,17,6,3,1,NA,125,122,71,61,17,34,4,54,8,0,0,526,1.248,8.8,1.2,2.4,3.9,1.59,Japan Central League,Taiyo Whales,1966,takaha001shi,right
14,Yoshiyuki Tsuji,23,0,0,NA,9,2,0,1,0,0,NA,2,5,3,2,1,0,0,0,0,0,0,10,2.5,22.5,4.5,0,0,NA,Japan Central League,Taiyo Whales,1966,tsuji-001yos,right
1,Masayuki Dobashi,30,6,6,0.5,2.28,19,15,2,6,2,NA,122.1,97,33,31,11,9,0,43,1,0,0,472,0.866,7.1,0.8,0.7,3.2,4.78,Japan Pacific League,Toei Flyers,1966,dobash000mas,right
2,Yoshiaki Ito*,32,1,3,0.25,2.78,37,10,10,2,0,NA,90.2,75,34,28,7,31,0,59,1,0,0,363,1.169,7.4,0.7,3.1,5.9,1.9,Japan Pacific League,Toei Flyers,1966,itoh--000yos,left
3,Eiji Matsutani*,22,0,0,NA,4.5,1,0,0,0,0,NA,2,2,1,1,0,0,0,0,0,0,0,8,1,9,0,0,0,NA,Japan Pacific League,Toei Flyers,1966,matsut000eij,left
4,Shoji Miyazaki,23,0,0,NA,0,4,0,1,0,0,NA,6.1,7,0,0,0,4,0,3,0,0,0,30,1.737,9.9,0,5.7,4.3,0.75,Japan Pacific League,Toei Flyers,1966,miyaza000sho,right
5,Toshiaki Moriyasu,18,11,11,0.5,3.03,44,29,6,7,4,NA,207.2,167,87,70,16,75,1,160,7,1,2,858,1.165,7.2,0.7,3.3,6.9,2.13,Japan Pacific League,Toei Flyers,1966,moriya000tos,right
6,Masayuki Nagayasu,24,1,3,0.25,4.4,21,1,6,0,0,NA,43,43,23,21,8,8,0,26,0,1,0,176,1.186,9,1.7,1.7,5.4,3.25,Japan Pacific League,Toei Flyers,1966,nagaya000mas,right
7,Yukio Ozaki,21,24,17,0.585,2.62,65,29,29,15,2,NA,292,268,100,85,23,40,4,122,2,1,4,1162,1.055,8.3,0.7,1.2,3.8,3.05,Japan Pacific League,Toei Flyers,1966,ozaki-000yuk,right
8,Kenshiro Saga,28,17,9,0.654,2.32,46,33,6,13,4,NA,244,204,77,63,19,56,3,80,6,0,6,986,1.066,7.5,0.7,2.1,3,1.43,Japan Pacific League,Toei Flyers,1966,saga--000ken,right
9,Mitsugu Tanaka*,22,10,10,0.5,2.9,50,18,15,6,2,NA,167.1,149,68,54,14,36,2,142,4,0,2,688,1.106,8,0.8,1.9,7.6,3.94,Japan Pacific League,Toei Flyers,1966,tanaka002mit,left
10,Yoshiji Yamamoto*,31,0,1,0,4.5,22,1,12,0,0,NA,34,39,20,17,3,10,2,24,2,0,1,152,1.441,10.3,0.8,2.6,6.4,2.4,Japan Pacific League,Toei Flyers,1966,yamamo003yos,left
1,Masaaki Kitaru,19,3,8,0.273,3,17,13,4,3,0,NA,78,75,35,26,4,11,0,32,0,0,0,319,1.103,8.7,0.5,1.3,3.7,2.91,Japan Pacific League,Tokyo Orions,1966,kitaru000mas,right
2,Masaaki Koyama,31,20,13,0.606,2.07,49,34,15,23,7,NA,304,266,85,70,24,38,0,187,8,0,2,1191,1,7.9,0.7,1.1,5.5,4.92,Japan Pacific League,Tokyo Orions,1966,koyama000mas,right
3,Mitsuaki Kurimoto,30,0,1,0,8.22,6,0,0,0,0,NA,7.2,12,8,7,1,3,0,5,0,0,0,40,1.957,14.1,1.2,3.5,5.9,1.67,Japan Pacific League,Tokyo Orions,1966,kurimo000mit,right
4,Katsuhiko Maki,23,4,3,0.571,3.05,28,6,12,0,0,NA,73.2,76,30,25,9,25,2,45,1,0,0,317,1.371,9.3,1.1,3.1,5.5,1.8,Japan Pacific League,Tokyo Orions,1966,maki--000kat,right
5,Fumio Narita,19,8,7,0.533,3.18,45,18,12,5,1,NA,172.2,144,68,61,23,36,2,101,5,0,0,688,1.042,7.5,1.2,1.9,5.3,2.81,Japan Pacific League,Tokyo Orions,1966,narita000fum,right
6,Takayuki Ryu*,24,1,0,1,4.5,25,0,4,0,0,NA,24,36,13,12,4,8,3,13,0,0,0,108,1.833,13.5,1.5,3,4.9,1.63,Japan Pacific League,Tokyo Orions,1966,ryu---000tak,left
7,Katsuji Sakai,28,11,16,0.407,2.94,33,28,2,8,3,NA,193,164,74,63,31,54,1,109,3,1,3,774,1.13,7.6,1.4,2.5,5.1,2.02,Japan Pacific League,Tokyo Orions,1966,sakai-000kat,right
8,Shichiro Sakota,21,4,6,0.4,2.68,35,5,15,0,0,NA,84,68,31,25,8,28,2,25,3,0,1,344,1.143,7.3,0.9,3,2.7,0.89,Japan Pacific League,Tokyo Orions,1966,sakota000shi,right
9,Motohiko Sato,23,2,1,0.667,3.6,10,2,4,1,0,NA,30,29,12,12,3,8,1,11,0,0,0,123,1.233,8.7,0.9,2.4,3.3,1.38,Japan Pacific League,Tokyo Orions,1966,sato--000mot,right
10,Takashi Suzuki*,32,2,6,0.25,4.52,35,14,9,0,0,NA,83.2,93,50,42,17,39,6,61,9,0,0,390,1.578,10,1.8,4.2,6.6,1.56,Japan Pacific League,Tokyo Orions,1966,suzuki007tak,left
11,Kinya Tsujino,24,0,0,NA,5.79,7,0,2,0,0,NA,14,18,14,9,2,6,0,5,0,0,2,70,1.714,11.6,1.3,3.9,3.2,0.83,Japan Pacific League,Tokyo Orions,1966,tsujin000kin,right
12,Yoshiro Tsumajima,27,6,8,0.429,2.65,27,14,8,4,2,NA,112,98,39,33,11,24,3,52,0,1,0,453,1.089,7.9,0.9,1.9,4.2,2.17,Japan Pacific League,Tokyo Orions,1966,tsumas000yos,right
13,Kojiro Yokoyama,23,0,0,NA,1.29,6,0,3,0,0,NA,7,6,1,1,0,5,0,7,1,0,0,31,1.571,7.7,0,6.4,9,1.4,Japan Pacific League,Tokyo Orions,1966,yokoya000koj,right
1,Tsuneo Horiuchi,18,16,2,0.889,1.39,33,22,9,14,7,NA,181,125,34,28,5,69,2,117,4,0,5,714,1.072,6.2,0.2,3.4,5.8,1.7,Japan Central League,Yomiuri Giants,1966,horiuc000tsu,right
2,Kunio Jonouchi,26,21,8,0.724,2.01,40,35,5,21,6,NA,282,231,70,63,11,53,11,134,7,0,0,1108,1.007,7.4,0.4,1.7,4.3,2.53,Japan Central League,Yomiuri Giants,1966,jonouc000kun,right
3,Masaichi Kaneda*,32,4,6,0.4,3.42,19,12,6,1,0,NA,84.1,72,36,32,12,25,3,58,3,0,2,341,1.15,7.7,1.3,2.7,6.2,2.32,Japan Central League,Yomiuri Giants,1966,kaneda002mas,left
4,Osamu Kubota,31,1,1,0.5,4.5,5,5,0,1,0,NA,22,21,12,11,4,9,3,4,2,0,0,96,1.364,8.6,1.6,3.7,1.6,0.44,Japan Central League,Yomiuri Giants,1966,kubota000osa,right
5,Akio Masuda*,28,4,1,0.8,2.78,30,5,11,0,0,NA,58.1,49,18,18,6,14,0,40,1,0,0,229,1.08,7.6,0.9,2.2,6.2,2.86,Japan Central League,Yomiuri Giants,1966,masuda001aki,left
6,Yojiro Miyamoto,24,2,1,0.667,2.04,22,0,6,0,0,NA,53,42,13,12,4,10,1,22,0,0,0,203,0.981,7.1,0.7,1.7,3.7,2.2,Japan Central League,Yomiuri Giants,1966,miyamo000yoj,right
7,Yukinori Miyata,26,5,3,0.625,2.14,15,0,12,0,0,NA,33.2,30,9,8,5,10,3,18,0,0,0,136,1.188,8,1.3,2.7,4.8,1.8,Japan Central League,Yomiuri Giants,1966,miyata000yuk,right
8,Minoru Nakamura,27,11,7,0.611,2.64,32,26,1,8,2,NA,177,150,62,52,15,36,4,85,3,1,0,701,1.051,7.6,0.8,1.8,4.3,2.36,Japan Central League,Yomiuri Giants,1966,nakamu001min,right
9,Katsuya Sugawara,21,1,1,0.5,2.77,3,2,0,1,1,NA,13,11,4,4,0,7,0,6,0,0,1,57,1.385,7.6,0,4.8,4.2,0.86,Japan Central League,Yomiuri Giants,1966,sugawa000kat,right
10,Akira Takahashi,24,3,0,1,2.44,14,3,3,0,0,NA,44.1,33,13,12,5,9,4,16,1,0,1,173,0.947,6.7,1,1.8,3.2,1.78,Japan Central League,Yomiuri Giants,1966,takaha004aki,right
11,Kazumi Takahashi*,20,6,5,0.545,2.17,19,10,1,2,0,NA,74.2,56,18,18,7,34,1,53,2,0,1,308,1.205,6.8,0.8,4.1,6.4,1.56,Japan Central League,Yomiuri Giants,1966,takaha004kaz,left
12,Yoshiyasu Tanebe,28,2,0,1,0.81,20,0,9,0,0,NA,33.1,15,4,3,3,6,1,19,0,0,0,117,0.63,4.1,0.8,1.6,5.1,3.17,Japan Central League,Yomiuri Giants,1966,tanebe000nor,right
13,Hidetake Watanabe,24,13,6,0.684,2.33,42,14,17,6,1,NA,154.1,124,42,40,14,20,4,66,7,0,0,599,0.933,7.2,0.8,1.2,3.8,3.3,Japan Central League,Yomiuri Giants,1966,watana003hid,right
1,Eiji Bando,27,14,6,0.7,2.56,51,1,35,0,0,NA,119.2,110,37,34,11,28,5,72,2,0,4,485,1.153,8.3,0.8,2.1,5.4,2.57,Japan Central League,Chunichi Dragons,1967,bando-000eij,right
2,Katsutaka Hashimoto*,23,0,0,NA,NA,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,0,Japan Central League,Chunichi Dragons,1967,hashim001kat,left
3,Takashi Ide,23,1,4,0.2,5.13,17,3,4,0,0,NA,33.1,41,22,19,3,9,0,21,0,0,1,148,1.5,11.1,0.8,2.4,5.7,2.33,Japan Central League,Chunichi Dragons,1967,ide---000tak,right
4,Hisatoshi Ito*,23,0,0,NA,3.57,28,1,7,0,0,NA,35.1,31,17,14,4,12,0,18,0,0,0,146,1.217,7.9,1,3.1,4.6,1.5,Japan Central League,Chunichi Dragons,1967,itoh--000his,left
5,Nobuyuki Kadooka,23,9,9,0.5,3.61,30,25,3,7,1,NA,149.2,142,63,60,27,17,2,74,4,1,1,605,1.062,8.5,1.6,1,4.4,4.35,Japan Central League,Chunichi Dragons,1967,kadook000nob,right
6,Yasuhiko Kawamura,26,0,1,0,4.4,6,1,1,0,0,NA,14.1,15,7,7,6,7,0,8,1,0,0,63,1.535,9.4,3.8,4.4,5,1.14,Japan Central League,Chunichi Dragons,1967,kawamu000yas,right
