Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,League,Team,Year,PlayerID,Throws
1,Kuranosuke Furuya,26,15,13,0.536,2.16,36,29,7,20,3,NA,254.2,182,88,61,0,145,NA,95,7,0,5,1090,1.284,6.4,0,5.1,3.4,0.66,Japanese Baseball League (Spring),Nagoya Kinko,1937,furuya000kur,right
2,Kiyomi Hirakawa?,25,0,1,0,4.05,2,1,1,0,0,NA,6.2,4,4,3,0,8,NA,2,0,1,1,31,1.8,5.4,0,10.8,2.7,0.25,Japanese Baseball League (Spring),Nagoya Kinko,1937,hiraka000kiy,unknown
3,Mitsuhiko Matsumoto,21,1,2,0.333,7.2,9,2,7,0,0,NA,30,32,29,24,0,39,NA,15,2,0,2,164,2.367,9.6,0,11.7,4.5,0.38,Japanese Baseball League (Spring),Nagoya Kinko,1937,matsum000mit,right
4,Masayoshi Nakayama,19,5,7,0.417,3.25,24,8,11,4,3,NA,97,80,45,35,0,59,NA,51,2,0,2,430,1.433,7.4,0,5.5,4.7,0.86,Japanese Baseball League (Spring),Nagoya Kinko,1937,nakaya000tad,right
5,Tsuruo Suzuki,22,4,7,0.364,3.65,20,16,3,3,2,NA,116,109,68,47,2,54,NA,30,1,0,1,519,1.405,8.5,0.2,4.2,2.3,0.56,Japanese Baseball League (Spring),Nagoya Kinko,1937,suzuki000tsu,right
1,Shoichi Aoki,19,1,0,1,3.6,3,0,0,0,0,NA,5,6,2,2,0,6,NA,5,0,0,0,26,2.4,10.8,0,10.8,9,0.83,Japanese Baseball League (Spring),Osaka Tigers,1937,aoki--000sho,right
2,Fumio Fujimura,20,4,1,0.8,1.3,12,5,6,2,1,NA,55.1,40,14,8,0,19,NA,27,1,0,1,223,1.066,6.5,0,3.1,4.4,1.42,Japanese Baseball League (Spring),Osaka Tigers,1937,fujimu000fum,right
3,Shogo Hashimoto*,20,0,0,NA,0,1,0,1,0,0,NA,2,1,2,0,0,4,NA,2,0,0,0,11,2.5,4.5,0,18,9,0.5,Japanese Baseball League (Spring),Osaka Tigers,1937,hashim000sho,left
4,Masaru Kageura,21,11,5,0.688,0.93,22,7,14,3,1,NA,106.1,72,26,11,0,39,NA,52,1,0,0,434,1.044,6.1,0,3.3,4.4,1.33,Japanese Baseball League (Spring),Osaka Tigers,1937,kageur000mas,right
5,Yoshio Kikuya,21,0,0,NA,4.26,4,1,3,0,0,NA,12.2,8,7,6,0,8,NA,7,1,0,0,57,1.263,5.7,0,5.7,5,0.88,Japanese Baseball League (Spring),Osaka Tigers,1937,kikuya000yos,right
6,Takao Misono,21,8,3,0.727,1.75,18,15,2,7,1,NA,113.1,95,33,22,1,30,NA,33,0,0,1,456,1.103,7.5,0.1,2.4,2.6,1.1,Japanese Baseball League (Spring),Osaka Tigers,1937,misono000tak,right
7,Yukio Nishimura,17,9,3,0.75,2.24,19,18,0,6,1,NA,116.2,101,40,29,1,51,NA,79,3,0,0,504,1.303,7.8,0.1,3.9,6.1,1.55,Japanese Baseball League (Spring),Osaka Tigers,1937,nishim001yuk,right
8,Tadashi Wakabayashi?,29,8,2,0.8,1.76,21,10,8,4,0,NA,92,85,37,18,1,25,NA,41,2,0,1,393,1.196,8.3,0.1,2.4,4,1.64,Japanese Baseball League (Spring),Osaka Tigers,1937,wakaba000hen,unknown
1,Kenichi Aoshiba,24,0,0,NA,0,1,0,1,0,0,NA,3,1,0,0,0,0,NA,0,0,0,0,10,0.333,3,0,0,0,NA,Japanese Baseball League (Spring),Tokyo Kyojin,1937,aoshib000ken,right
2,Hachiro Maekawa,25,4,5,0.444,3.09,20,16,5,4,1,NA,116.2,102,51,40,4,48,NA,45,2,0,1,491,1.286,7.9,0.3,3.7,3.5,0.94,Japanese Baseball League (Spring),Tokyo Kyojin,1937,maekaw000hac,right
3,Eiji Sawamura,20,24,4,0.857,0.81,30,24,5,24,7,NA,244,138,47,22,2,68,NA,196,2,0,0,938,0.844,5.1,0.1,2.5,7.2,2.88,Japanese Baseball League (Spring),Tokyo Kyojin,1937,sawamu000eij,right
4,Victor Starfin?,21,13,4,0.765,1.53,25,16,7,10,3,NA,147.1,100,34,25,1,58,NA,92,1,0,2,592,1.072,6.1,0.1,3.5,5.6,1.59,Japanese Baseball League (Spring),Tokyo Kyojin,1937,starfi000vic,unknown
1,Saburo Asaoka,23,5,12,0.294,4.24,23,11,11,4,1,NA,121,107,71,57,1,73,NA,38,1,0,2,542,1.488,8,0.1,5.4,2.8,0.52,Japanese Baseball League (Spring),Tokyo Senators,1937,asaoka000sab,right
2,Jiro Ito,27,5,7,0.417,2.86,16,14,1,8,0,NA,97.2,79,41,31,2,47,NA,26,2,1,0,415,1.29,7.3,0.2,4.3,2.4,0.55,Japanese Baseball League (Spring),Tokyo Senators,1937,itoh--000jir,right
3,Hiroshi Kaneko*,22,1,0,1,3.32,6,1,2,0,0,NA,21.2,15,10,8,0,22,NA,12,2,0,0,100,1.708,6.2,0,9.1,5,0.55,Japanese Baseball League (Spring),Tokyo Senators,1937,kaneko000hir,left
4,Akira Noguchi,19,19,7,0.731,1.58,37,30,7,23,6,NA,257,196,70,45,3,85,NA,142,1,0,2,1048,1.093,6.9,0.1,3,5,1.67,Japanese Baseball League (Spring),Tokyo Senators,1937,noguch000aki,right
1,Masao Furukawa?,23,3,5,0.375,4.1,11,10,1,1,1,NA,63.2,61,32,29,0,40,NA,15,0,1,1,283,1.586,8.6,0,5.7,2.1,0.38,Japanese Baseball League (Spring),Eagles,1938,furuka000mas,unknown
2,Tadashi Kameda?,25,12,9,0.571,2.06,29,19,9,17,5,NA,187.2,105,56,43,3,143,NA,137,1,0,5,788,1.321,5,0.1,6.9,6.6,0.96,Japanese Baseball League (Spring),Eagles,1938,kameda000tad,unknown
3,Junichi Mochizuki*,19,0,0,NA,2.61,3,0,3,0,0,NA,10.1,8,4,3,0,2,NA,5,0,0,0,43,0.968,7,0,1.7,4.4,2.5,Japanese Baseball League (Spring),Eagles,1938,mochid000jun,left
4,Miyoshi Nakagawa*,18,3,1,0.75,1.76,7,6,1,3,2,NA,46,35,17,9,0,19,NA,25,0,1,0,190,1.174,6.8,0,3.7,4.9,1.32,Japanese Baseball League (Spring),Eagles,1938,nakaga000miy,left
1,Katsusaburo Asano*,22,2,2,0.5,2.02,9,5,4,3,1,NA,49,45,16,11,2,12,NA,16,1,0,1,203,1.163,8.3,0.4,2.2,2.9,1.33,Japanese Baseball League (Spring),Hankyu,1938,asano-000kat,left
2,Mitsuhiko Ishida,22,5,4,0.556,3.16,12,8,3,6,0,NA,74,53,30,26,4,37,NA,29,1,0,1,304,1.216,6.4,0.5,4.5,3.5,0.78,Japanese Baseball League (Spring),Hankyu,1938,ishida000mit,right
3,Saburo Miyatake,30,3,1,0.75,2.63,6,3,3,1,0,NA,27.1,16,11,8,1,22,NA,6,1,0,0,116,1.39,5.3,0.3,7.2,2,0.27,Japanese Baseball League (Spring),Hankyu,1938,miyata000sab,right
4,Hirotaro Mori,23,5,2,0.714,1.59,8,6,2,1,0,NA,45.1,29,12,8,0,25,NA,7,1,0,3,193,1.191,5.8,0,5,1.4,0.28,Japanese Baseball League (Spring),Hankyu,1938,mori--000kot,right
5,Kashiwa Odano,21,3,2,0.6,1.7,10,6,2,4,2,NA,63.2,43,14,12,1,35,NA,14,0,0,0,262,1.225,6.1,0.1,4.9,2,0.4,Japanese Baseball League (Spring),Hankyu,1938,odano-000kas,right
6,Michio Shigematsu,21,2,1,0.667,0.92,4,4,0,3,1,NA,29.1,16,4,3,0,6,NA,9,0,0,1,112,0.75,4.9,0,1.8,2.8,1.5,Japanese Baseball League (Spring),Hankyu,1938,shigem000mic,right
7,Satoshi Takahashi,19,1,1,0.5,2.22,5,3,2,1,1,NA,24.1,17,10,6,1,9,NA,15,0,0,0,99,1.068,6.3,0.4,3.3,5.5,1.67,Japanese Baseball League (Spring),Hankyu,1938,takaha003sat,right
1,Yoshio Kikuya,22,7,18,0.28,4.2,26,21,4,14,1,NA,167.1,158,117,78,4,120,NA,80,5,0,3,783,1.661,8.5,0.2,6.5,4.3,0.67,Japanese Baseball League (Spring),Lion,1938,kikuya000yos,right
2,Hisashi Kondo*,19,2,5,0.286,3.08,16,10,6,7,1,NA,105.1,107,50,36,4,64,NA,44,1,0,1,479,1.623,9.1,0.3,5.5,3.8,0.69,Japanese Baseball League (Spring),Lion,1938,kondo-000his,left
3,Kazuaki Otomo,21,0,3,0,3.3,7,4,3,1,0,NA,30,30,18,11,0,24,NA,9,1,0,1,146,1.8,9,0,7.2,2.7,0.38,Japanese Baseball League (Spring),Lion,1938,otomo-000kaz,right
1,Hiroki Kinoshita,31,0,0,NA,3.18,3,1,2,0,0,NA,11.1,13,8,4,0,4,NA,5,0,0,2,53,1.5,10.3,0,3.2,4,1.25,Japanese Baseball League (Spring),Nagoya,1938,kinosh000hir,right
2,Kozo Matsuo*,21,3,8,0.273,3.82,17,12,2,5,0,NA,101.1,89,64,43,2,77,NA,59,2,0,4,472,1.638,7.9,0.2,6.8,5.2,0.77,Japanese Baseball League (Spring),Nagoya,1938,matsuo000koz,left
